epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,912.007,0.94757,0.97214,1.36352,0.81793,0.60241,0.68412,0.51978,0.93965,0.89038,1.40084,0.0015941,0.0015941,0.0015941
43,933.168,0.94454,0.95858,1.36789,0.79943,0.62427,0.66894,0.50452,0.97382,0.9339,1.43465,0.0015842,0.0015842,0.0015842
44,954.145,0.93901,0.9381,1.35872,0.84372,0.58541,0.67753,0.5074,0.97789,0.93606,1.42676,0.0015743,0.0015743,0.0015743
45,975.116,0.92853,0.90288,1.3478,0.792,0.60786,0.66644,0.50561,0.94059,0.9414,1.42333,0.0015644,0.0015644,0.0015644
46,996.259,0.94137,0.95135,1.37027,0.80937,0.5753,0.66077,0.5053,0.97875,0.95694,1.4494,0.0015545,0.0015545,0.0015545
47,1017.65,0.92573,0.92216,1.35218,0.82169,0.58297,0.67125,0.49886,1.0098,0.95915,1.45318,0.0015446,0.0015446,0.0015446
48,1039.24,0.88495,0.88045,1.31748,0.7803,0.5994,0.66418,0.48567,1.00054,0.98201,1.46314,0.0015347,0.0015347,0.0015347
49,1061.44,0.94294,0.94799,1.3662,0.80754,0.59401,0.66869,0.49661,0.9883,0.99181,1.43556,0.0015248,0.0015248,0.0015248
50,1083.29,0.90795,0.91732,1.34505,0.82924,0.61747,0.68609,0.52682,0.97273,0.90387,1.41747,0.0015149,0.0015149,0.0015149
51,1105.14,0.92264,0.91942,1.35161,0.80248,0.5994,0.67517,0.51295,0.96487,0.95741,1.41857,0.001505,0.001505,0.001505
52,1126.34,0.92257,0.93354,1.34224,0.85415,0.58213,0.65899,0.50199,0.98315,0.97149,1.47406,0.0014951,0.0014951,0.0014951
53,1147.14,0.90555,0.90657,1.33527,0.87603,0.57468,0.66412,0.51704,0.94223,0.87406,1.40993,0.0014852,0.0014852,0.0014852
54,1167.47,0.89954,0.90129,1.33383,0.85884,0.59337,0.65225,0.50552,0.96791,0.94063,1.42056,0.0014753,0.0014753,0.0014753
55,1188.14,0.90243,0.89859,1.32139,0.81808,0.59599,0.65615,0.49645,0.98433,0.90659,1.43799,0.0014654,0.0014654,0.0014654
56,1209.01,0.89257,0.89789,1.3151,0.85255,0.59213,0.67087,0.52618,0.93025,0.90038,1.38869,0.0014555,0.0014555,0.0014555
57,1230.13,0.89837,0.89722,1.32928,0.81511,0.61082,0.67438,0.5178,0.9415,0.89415,1.41104,0.0014456,0.0014456,0.0014456
58,1251.16,0.93681,0.94251,1.35387,0.80872,0.62349,0.67028,0.52918,0.93077,0.90897,1.39874,0.0014357,0.0014357,0.0014357
59,1272.27,0.8709,0.84871,1.3141,0.81886,0.58549,0.65533,0.52587,0.91029,0.91547,1.36374,0.0014258,0.0014258,0.0014258
60,1293.14,0.87725,0.84338,1.32113,0.83495,0.59425,0.67012,0.50591,0.97469,0.89948,1.41803,0.0014159,0.0014159,0.0014159
61,1314.06,0.90647,0.89521,1.3258,0.82609,0.60241,0.67319,0.52234,0.92935,0.92773,1.39173,0.001406,0.001406,0.001406
62,1334.63,0.89788,0.89661,1.32313,0.83729,0.59639,0.67989,0.53758,0.89018,0.87607,1.3598,0.0013961,0.0013961,0.0013961
63,1362.8,0.88405,0.88651,1.31235,0.80066,0.62048,0.65493,0.51392,0.92721,0.92268,1.39307,0.0013862,0.0013862,0.0013862
64,1391.8,0.84293,0.80153,1.29326,0.81919,0.60241,0.66017,0.52049,0.92483,0.94833,1.4139,0.0013763,0.0013763,0.0013763
65,1421.27,0.84139,0.80279,1.28647,0.81829,0.59036,0.6665,0.51999,0.92676,0.92395,1.41074,0.0013664,0.0013664,0.0013664
66,1450.95,0.88463,0.87445,1.32706,0.81916,0.60031,0.66576,0.51689,0.94514,0.91053,1.39948,0.0013565,0.0013565,0.0013565
67,1480.3,0.89683,0.87242,1.33165,0.88555,0.57831,0.67883,0.52632,0.93923,0.8942,1.42063,0.0013466,0.0013466,0.0013466
68,1509.17,0.84766,0.83001,1.29594,0.83871,0.60542,0.67249,0.51574,0.93268,0.9281,1.39859,0.0013367,0.0013367,0.0013367
