epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3818.81,1.40202,1.60393,1.96405,0.74684,0.64451,0.70531,0.35967,1.82637,1.17979,2.54728,0.00869065,0.00869065,0.00869065
43,3889.8,1.39052,1.58125,1.96331,0.70057,0.66299,0.71566,0.36342,1.81045,1.14839,2.53533,0.00865871,0.00865871,0.00865871
44,3960.35,1.4012,1.61986,1.96581,0.68104,0.65218,0.69992,0.35832,1.8093,1.17045,2.5132,0.00862677,0.00862677,0.00862677
45,4035.09,1.40538,1.61158,1.96228,0.70874,0.63901,0.6854,0.34966,1.79184,1.17674,2.50505,0.00859484,0.00859484,0.00859484
46,4110.68,1.40399,1.60273,1.96048,0.68226,0.66287,0.69962,0.34937,1.82605,1.18312,2.56102,0.0085629,0.0085629,0.0085629
47,4185.21,1.40915,1.6042,1.96275,0.69249,0.65544,0.70152,0.35155,1.82708,1.15871,2.53842,0.00853097,0.00853097,0.00853097
48,4258.97,1.39585,1.5806,1.95891,0.74192,0.65463,0.72061,0.36171,1.80826,1.1601,2.54407,0.00849903,0.00849903,0.00849903
49,4332.78,1.41621,1.60081,1.96619,0.73188,0.6531,0.70653,0.3655,1.81928,1.19173,2.5478,0.0084671,0.0084671,0.0084671
50,4406.85,1.40191,1.585,1.95389,0.68314,0.65593,0.69555,0.35156,1.82099,1.1631,2.54035,0.00843516,0.00843516,0.00843516
51,4480.31,1.38612,1.59312,1.95307,0.68356,0.6491,0.68634,0.34029,1.83557,1.18047,2.54039,0.00840323,0.00840323,0.00840323
52,4554.54,1.40069,1.56802,1.95307,0.7025,0.66976,0.70492,0.35615,1.79885,1.16595,2.50856,0.00837129,0.00837129,0.00837129
53,4627.89,1.39953,1.59569,1.95802,0.72343,0.66717,0.70405,0.36021,1.81383,1.16231,2.55635,0.00833935,0.00833935,0.00833935
54,4701.91,1.39951,1.58438,1.96086,0.75661,0.62642,0.70741,0.36374,1.80836,1.1544,2.54236,0.00830742,0.00830742,0.00830742
55,4776.28,1.40111,1.59274,1.96506,0.76625,0.62262,0.70238,0.34979,1.82044,1.16541,2.55235,0.00827548,0.00827548,0.00827548
56,4849.83,1.40058,1.59531,1.9559,0.74168,0.65935,0.71348,0.35379,1.82634,1.15726,2.54164,0.00824355,0.00824355,0.00824355
57,4923,1.39776,1.56769,1.9498,0.74821,0.63965,0.7131,0.36684,1.80588,1.15591,2.53549,0.00821161,0.00821161,0.00821161
58,4997.73,1.40652,1.60318,1.96858,0.71385,0.65523,0.71886,0.36648,1.81753,1.15598,2.54249,0.00817968,0.00817968,0.00817968
59,5074.39,1.39462,1.58107,1.95323,0.7127,0.67278,0.72242,0.36637,1.8028,1.12024,2.53473,0.00814774,0.00814774,0.00814774
60,5145.43,1.3898,1.57336,1.95043,0.76675,0.62438,0.71034,0.36768,1.7975,1.13695,2.51533,0.00811581,0.00811581,0.00811581
61,5218.87,1.41583,1.60848,1.96645,0.73756,0.64166,0.71382,0.36226,1.81305,1.14521,2.53533,0.00808387,0.00808387,0.00808387
62,5291.24,1.38869,1.5685,1.93784,0.69041,0.6819,0.71512,0.35423,1.80903,1.11778,2.52436,0.00805194,0.00805194,0.00805194
63,5362.56,1.39139,1.54837,1.94757,0.75812,0.64731,0.71519,0.3604,1.80964,1.14457,2.53254,0.00802,0.00802,0.00802
64,5434.57,1.3874,1.56853,1.94548,0.77639,0.63496,0.7221,0.36981,1.80613,1.13304,2.52974,0.00798806,0.00798806,0.00798806
65,5507.57,1.38546,1.56071,1.94622,0.7106,0.67775,0.72467,0.37172,1.78936,1.13692,2.5224,0.00795613,0.00795613,0.00795613
66,5633.74,1.38484,1.54704,1.94641,0.71805,0.66126,0.71286,0.35714,1.8302,1.14331,2.56761,0.00792419,0.00792419,0.00792419
67,5770.19,1.39223,1.58758,1.95258,0.75399,0.64379,0.69794,0.36332,1.80435,1.14532,2.53513,0.00789226,0.00789226,0.00789226
68,5906.76,1.38974,1.56355,1.94171,0.74303,0.67174,0.71955,0.36383,1.81105,1.15066,2.53194,0.00786032,0.00786032,0.00786032
